time,xaxis,yaxis,zaxis,State
2.373854,0.29,0.18,0.05,
2.376349,0.28,0.17,0.05,
2.378295,0.27,0.15,0.04,
2.380843,0.26,0.12,0.04,
2.383728,0.23,0.1,0.05,
2.386612,0.21,0.1,0.07,
2.388722,0.17,0.1,0.09,
2.391583,0.14,0.1,0.1,
2.394145,0.1,0.09,0.1,
2.39672,0.07,0.08,0.1,
2.398683,0.04,0.05,0.09,
2.401096,0.01,0.02,0.07,
2.405034,-0.02,-0.02,0.05,
2.405972,-0.05,-0.06,0.04,
2.409348,-0.08,-0.09,0.03,
2.411813,-0.1,-0.11,0.03,
2.414456,-0.13,-0.13,0.03,
2.417077,-0.15,-0.13,0.03,
2.419264,-0.17,-0.13,0.03,
2.421378,-0.18,-0.12,0.04,
2.42411,-0.17,-0.11,0.04,
2.42718,-0.16,-0.1,0.04,
2.429788,-0.13,-0.1,0.04,
2.432282,-0.11,-0.09,0.05,
2.434912,-0.07,-0.08,0.05,
2.437321,-0.04,-0.07,0.05,
2.439222,-0.01,-0.06,0.05,
2.441668,0.02,-0.04,0.04,
2.448198,0.04,-0.03,0.03,
2.448621,0.06,-0.01,0.03,
2.450335,0.08,0.01,0.03,
2.452348,0.09,0.03,0.03,
2.455059,0.09,0.04,0.03,
2.457767,0.1,0.05,0.03,
2.459507,0.09,0.06,0.03,
2.461881,0.09,0.07,0.02,
2.464823,0.09,0.07,0.02,
2.467616,0.08,0.07,0.01,
2.470212,0.07,0.07,0.01,
2.472818,0.06,0.08,0.01,
2.475258,0.05,0.08,0.01,
2.477618,0.03,0.08,0.01,
2.479882,0.01,0.09,0,
2.482366,-0.01,0.09,0,
2.485714,-0.03,0.09,0.01,
2.487369,-0.05,0.09,0.01,
2.490518,-0.07,0.08,0.01,
2.493072,-0.09,0.08,0,
2.495604,-0.12,0.08,0,
2.497797,-0.14,0.07,0,
2.499947,-0.16,0.07,-0.01,
2.502448,-0.19,0.05,-0.02,
2.505632,-0.21,0.04,-0.02,
2.508297,-0.22,0.02,-0.02,
2.510882,-0.23,0,-0.03,
2.513314,-0.24,-0.01,-0.03,
2.515818,-0.25,-0.03,-0.04,
2.517796,-0.26,-0.05,-0.04,
2.520266,-0.26,-0.08,-0.04,
2.522633,-0.27,-0.09,-0.05,
2.526834,-0.28,-0.1,-0.05,
2.527723,-0.3,-0.11,-0.05,
2.531085,-0.32,-0.11,-0.05,
2.53367,-0.33,-0.11,-0.05,
2.53626,-0.35,-0.11,-0.05,
2.537988,-0.36,-0.1,-0.04,
2.540418,-0.36,-0.1,-0.04,
2.543225,-0.35,-0.09,-0.05,
2.545773,-0.34,-0.09,-0.05,
2.548792,-0.33,-0.08,-0.05,
2.551203,-0.31,-0.06,-0.05,
2.553715,-0.29,-0.04,-0.06,
2.556535,-0.27,-0.03,-0.06,
2.558196,-0.25,-0.02,-0.05,
2.560807,-0.23,-0.01,-0.05,
2.56326,-0.21,0,-0.05,
2.566175,-0.18,0,-0.05,
2.568934,-0.15,0.02,-0.04,
2.571711,-0.12,0.02,-0.04,
2.573783,-0.08,0.03,-0.03,
2.579094,-0.04,0.02,-0.03,
2.579557,0,0.02,-0.02,
2.581137,0.05,0.02,-0.01,
2.583863,0.09,0.03,-0.01,
2.586382,0.14,0.03,0,
2.589188,0.18,0.03,0,
2.592187,0.22,0.03,0,
2.594073,0.26,0.03,0.01,
2.596097,0.29,0.04,0.01,
2.598504,0.32,0.05,0.01,
2.601106,0.34,0.05,0.01,
2.603868,0.36,0.06,0.01,
2.606213,0.37,0.07,0.01,
2.609485,0.38,0.07,0,
2.612112,0.37,0.06,0,
2.614629,0.36,0.06,-0.01,
2.617199,0.33,0.04,-0.02,
2.618754,0.31,0.03,-0.03,
2.621559,0.27,0.01,-0.05,
2.625027,0.23,0,-0.05,
2.627055,0.18,-0.02,-0.06,
2.629783,0.13,-0.04,-0.07,
2.632115,0.08,-0.05,-0.08,
2.634808,0.04,-0.07,-0.08,
2.637378,-0.01,-0.08,-0.08,
2.638982,-0.05,-0.09,-0.08,
2.641721,-0.08,-0.1,-0.08,
2.644936,-0.11,-0.1,-0.07,
2.646846,-0.14,-0.1,-0.06,
2.649991,-0.16,-0.1,-0.06,
2.652387,-0.18,-0.11,-0.05,
2.654927,-0.19,-0.1,-0.04,
2.657657,-0.2,-0.1,-0.03,
2.659387,-0.21,-0.1,-0.02,
2.661984,-0.21,-0.09,-0.02,
2.664884,-0.21,-0.08,-0.02,
2.667588,-0.21,-0.07,-0.01,
2.670115,-0.19,-0.07,-0.01,
2.672694,-0.18,-0.06,-0.01,
2.67532,-0.17,-0.06,-0.01,
2.677689,-0.16,-0.05,-0.01,
